<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
25/09/18,115240,115360,115240,115330
25/09/18,115330,115350,115270,115330
25/09/18,115330,115430,115320,115430
25/09/18,115430,115440,115360,115400
25/09/18,115390,115430,115360,115410
25/09/18,115410,115420,115370,115380
25/09/18,115390,115400,115350,115370
25/09/18,115370,115390,115340,115380
25/09/18,115390,115480,115360,115470
25/09/18,115470,115500,115440,115490
25/09/18,115490,115570,115400,115560
25/09/18,115560,115650,115540,115650
25/09/18,115640,115650,115560,115610
25/09/18,115620,115630,115560,115560
25/09/18,115570,115570,115540,115550
25/09/18,115560,115620,115550,115600
25/09/18,115600,115660,115580,115590
25/09/18,115600,115600,115550,115560
25/09/18,115560,115590,115550,115580
25/09/18,115580,115600,115550,115570
25/09/18,115580,115600,115560,115580
25/09/18,115580,115810,115580,115730
25/09/18,115740,115770,115700,115720
25/09/18,115720,115780,115700,115750
25/09/18,115770,115780,115670,115700
25/09/18,115710,115800,115690,115790
25/09/18,115800,115810,115740,115760
25/09/18,115750,115800,115690,115700
25/09/18,115700,115740,115680,115740
25/09/18,115730,115760,115680,115690
25/09/18,115710,115710,115620,115660
25/09/18,115680,115730,115640,115700
25/09/18,115710,115720,115670,115690
25/09/18,115680,115700,115680,115690
25/09/18,115680,115680,115590,115600
25/09/18,115600,115650,115560,115650
25/09/18,115650,115690,115640,115670
25/09/18,115670,115690,115660,115670
25/09/18,115670,115720,115660,115700
25/09/18,115720,115720,115610,115620
25/09/18,115620,115640,115560,115580
25/09/18,115570,115590,115520,115550
25/09/18,115560,115600,115550,115590
25/09/18,115590,115640,115590,115610
25/09/18,115610,115680,115600,115680
25/09/18,115680,115790,115660,115770
25/09/18,115780,115800,115750,115780
25/09/18,115770,115800,115770,115800
25/09/18,115800,115830,115710,115710
25/09/18,115710,115740,115660,115670
25/09/18,115670,115680,115560,115590
25/09/18,115610,115650,115580,115590
25/09/18,115600,115640,115590,115620
25/09/18,115620,115630,115580,115590
25/09/18,115600,115650,115570,115570
25/09/18,115580,115640,115530,115610
25/09/18,115610,115630,115570,115580
25/09/18,115570,115580,115550,115560
25/09/18,115550,115560,115470,115520
25/09/18,115530,115530,115430,115490
25/09/18,115480,115480,115390,115430
25/09/18,115420,115470,115410,115470
25/09/18,115470,115550,115460,115530
25/09/18,115540,115600,115530,115590
25/09/18,115590,115620,115550,115620
25/09/18,115620,115660,115600,115610
25/09/18,115610,115620,115550,115600
25/09/18,115590,115600,115570,115580
25/09/18,115570,115590,115560,115560
25/09/18,115570,115630,115560,115610
25/09/18,115600,115650,115600,115600
25/09/18,115600,115660,115590,115610
25/09/18,115630,115650,115600,115640
25/09/18,115640,115700,115620,115620
25/09/18,115620,115680,115620,115660
